"Dim1","Dim2","Tipo","Marca","Duracion"
1.36227071097315,-0.443132691123845,"B","MC2","1"
0.683595876362618,1.92648730208972,"SG","MC1","2"
-1.60117623281521,1.32432709802843,"I","MC1","2"
-1.31344773314811,-2.11500646655188,"I","MB","2"
2.04033013575227,-2.73403788258966,"B","MB","1"
2.31766161605142,-0.316745907304753,"B","MC2","2"
-2.03013356796304,2.12306413064279,"I","MC1","1"
1.44611485660161,1.2419630509717,"SG","MC1","1"
3.04359887723268,0.405910649520214,"B","MC2","1"
-5.9488145390474,-1.41282928368271,"SG","MB","1"
